TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL
AAPL,APPLE COMPUTER,19950120.0,29.0,9077.0,1.0,EPS,0.0451,19950120.0,19950502.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950120.0,308.0,677.0,1.0,EPS,0.0384,19950120.0,19950522.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950120.0,7.0,7932.0,1.0,EPS,0.0411,19950120.0,19950523.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950123.0,232.0,740.0,1.0,EPS,0.0415,19950120.0,19950323.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950123.0,114.0,494.0,1.0,EPS,0.0379,19950123.0,19950324.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950123.0,94.0,965.0,1.0,EPS,0.0384,19950123.0,19950407.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950123.0,933.0,9514.0,1.0,EPS,0.0415,19950123.0,19950412.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950123.0,39.0,678.0,1.0,EPS,0.0406,19950123.0,19950417.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950123.0,142.0,54.0,1.0,EPS,0.0379,19950123.0,19950427.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950123.0,241.0,3810.0,1.0,EPS,0.0379,19950123.0,19950519.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950124.0,11.0,938.0,1.0,EPS,0.0402,19950124.0,19950307.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950124.0,811.0,4363.0,1.0,EPS,0.0393,19950124.0,19950417.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950124.0,37.0,9236.0,1.0,EPS,0.0348,19950124.0,19950421.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950124.0,68.0,18367.0,1.0,EPS,0.0402,19950124.0,19950505.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950127.0,192.0,1830.0,1.0,EPS,0.0382,19950127.0,19950425.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950130.0,183.0,4684.0,1.0,EPS,0.0402,19950130.0,19950420.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950130.0,158.0,9620.0,1.0,EPS,0.0357,19950130.0,19950919.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950131.0,100.0,9486.0,1.0,EPS,0.0433,19950131.0,19950313.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950201.0,215.0,685.0,1.0,EPS,0.0335,19950201.0,19950302.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950203.0,210.0,71682.0,1.0,EPS,0.0424,19950203.0,19950614.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950216.0,189.0,5668.0,1.0,EPS,0.0406,19950214.0,19950314.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950224.0,211.0,4299.0,1.0,EPS,0.0464,19950223.0,19950328.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950228.0,125.0,146.0,1.0,EPS,0.0426,19950228.0,19950427.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950303.0,215.0,685.0,1.0,EPS,0.0357,19950303.0,19950309.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950306.0,229.0,31901.0,1.0,EPS,0.0411,19950306.0,19950501.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950310.0,215.0,685.0,1.0,EPS,0.0379,19950310.0,19950331.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950314.0,100.0,9486.0,1.0,EPS,0.042,19950314.0,19950420.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950315.0,189.0,5668.0,1.0,EPS,0.0388,19950315.0,19950420.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950315.0,1388.0,9514.0,1.0,EPS,0.0384,19950315.0,19950425.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950317.0,206.0,7985.0,1.0,EPS,0.0407,19950317.0,19950419.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950321.0,863.0,30168.0,1.0,EPS,0.0442,19950321.0,19950426.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950324.0,11.0,938.0,1.0,EPS,0.0394,19950324.0,19950410.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950324.0,232.0,740.0,1.0,EPS,0.0388,19950324.0,19950711.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950328.0,118.0,1765.0,1.0,EPS,0.0397,19950328.0,19950424.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950329.0,211.0,4299.0,1.0,EPS,0.0428,19950329.0,19950418.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950404.0,114.0,494.0,1.0,EPS,0.0366,19950404.0,19950419.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950404.0,215.0,685.0,1.0,EPS,0.0335,19950404.0,19950609.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950418.0,39.0,678.0,1.0,EPS,0.0393,19950418.0,19950508.0,19950930,19951018.0,0.0301
